"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 09:44:02 GMT 2025","Mon Feb 10 09:44:02 GMT 2025","116","tests","test_courses","","","","test_output_verification[firefox]",""
"failed","Mon Feb 10 09:44:14 GMT 2025","Mon Feb 10 09:44:19 GMT 2025","5057","tests","test_courses","","","","test_custom_code_verification[firefox]",""
"passed","Mon Feb 10 09:43:36 GMT 2025","Mon Feb 10 09:43:38 GMT 2025","1755","tests","test_courses","","","","test_courses[webkit]",""
"passed","Mon Feb 10 09:43:47 GMT 2025","Mon Feb 10 09:43:48 GMT 2025","460","tests","test_courses","","","","test_custom_code_verification[webkit]",""
"failed","Mon Feb 10 09:44:27 GMT 2025","Mon Feb 10 09:44:32 GMT 2025","5036","tests","test_courses","","","","test_custom_code_verification[chromium]",""
"passed","Mon Feb 10 09:44:20 GMT 2025","Mon Feb 10 09:44:21 GMT 2025","1158","tests","test_courses","","","","test_courses[chromium]",""
"passed","Mon Feb 10 09:43:49 GMT 2025","Mon Feb 10 09:43:50 GMT 2025","1327","tests","test_courses","","","","test_courses[firefox]",""
"passed","Mon Feb 10 09:44:24 GMT 2025","Mon Feb 10 09:44:24 GMT 2025","41","tests","test_courses","","","","test_output_verification[chromium]",""
"passed","Mon Feb 10 09:43:43 GMT 2025","Mon Feb 10 09:43:43 GMT 2025","259","tests","test_courses","","","","test_output_verification[webkit]",""
