"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 09 20:28:59 GMT 2025","Sun Feb 09 20:29:05 GMT 2025","5046","tests","test_courses","","","","test_custom_code_verification[chromium]",""
"passed","Sun Feb 09 20:28:50 GMT 2025","Sun Feb 09 20:28:53 GMT 2025","2129","tests","test_courses","","","","test_courses[chromium]",""
"passed","Sun Feb 09 20:28:56 GMT 2025","Sun Feb 09 20:28:56 GMT 2025","60","tests","test_courses","","","","test_output_verification[chromium]",""
